Word,Gender
titan,m
dam,m
cigarillo,m
courtisanerie,f
menthe,f
S.A.,f
shekel,m
gramme,m
escudo,f
démocratie,f
omicron,m
lexique,m
li,m
kangourou,m
zèbre,m
bonne,f
acclimatement,m
cannelle,f
maire,m
vache,f
accueil,m
roadster,m
info,f
Toscane,f
parlement,m
augmentation,f
prescience,f
lavaret,m
Texan,m
pis,m
buffle,m
croissant,m
langage,m
maintenance,f
terminal,m
milkshake,m
perception,f
communion,f
chassis,m
pied,m
laudanum,m
Breton,m
circuit,m
das,m
omnibus,m
micro,m
condom,m
janvier,m
tri,m
acescence,f
protestant,m
sloop,m
champion,m
kana,m
mission,f
jambon,m
français,m
accréditation,f
maximum,m
clairvoyance,f
jambe,f
gras,m
clash,m
marathon,m
textile,m
restaurant,m
accouchement,m
accoucheuse,f
accouplement,m
smegma,m
orangeade,f
minimum,m
acétylène,m
voltage,m
neige,f
injure,f
perdition,f
vague,f
vague,m
slogan,m
transparent,m
requiem,m
hallucination,f
muse,f
combustion,f
armistice,m
intersection,f
vodka,f
flu,m
solstice,m
bagel,m
coefficient,m
pêcher,m
staff,m
staff,m
phone,m
fraction,f
tomate,f
blizzard,m
profit,m
fulminate,m
parmesan,m
madeleine,f
verisimilitude,f
gâteau,m
crash,m
regret,m
parachute,m
teuf,f
jet,m
jet,m
businesswoman,f
upsilon,m
zoo,m
province,f
exponentiation,f
explosion,f
must,m
nulle,f
sole,f
pair,m
rectangle,m
lunch,m
lever,m
bitch,f
plastic,m
sigma,m
mail,m
mail,m
punch,m
psi,m
phi,m
quick,m
papier,m
pot,m
pot,m
clap,m
hip-hop,m
violon,m
fleur de sel,f
bang,m
visa,m
lad,m
import,m
kilogramme,m
cola,m
bill,m
ampère,m
popcorn,m
becquerel,m
Mahorais,m
farad,m
radian,m
pat,m
pop,m
fugitive,f
joule,m
siemens,m
papyrus,m
nem,m
Qatari,m
ohm,m
hertz,m
vent,m
coulomb,m
la,m
sweat,m
sievert,m
kelvin,m
pascal,m
ship,m
candela,f
newton,m
noise,f
serpent,m
weber,m
propolis,f
watt,m
tesla,m
union,f
coeur,m
lumen,m
litre,m
temple,m
hockey,m
bokmål,m
acharnement,m
jeu,m
hype,m
gris-gris,m
village,m
silence,m
promo,f
virgule,f
technique,f
judo,m
permutation,f
tricycle,m
affect,m
gabardine,f
slave,m
flux,m
sandwich,m
prototype,m
jersey,m
spam,m
fatwa,f
kava,m
gazelle,f
collage,m
shop,f
banjo,m
monitoring,m
dieu,m
quichenotte,f
sel,m
hamburger,m
béret,m
tau,m
radius,m
beach,m
pizzicato,m
brioche,f
gym,f
gym,m
graphite,m
velléité,f
volt,m
axis,m
gâcheur,m
violence,f
substitution,f
ruse,f
grain,m
grain,m
lyre,f
outrage,m
rock,m
drone,m
humour,m
score,m
héraut,m
goal,m
arc,m
cigare,m
tzar,m
perspective,f
té,m
tire,f
tire,m
management,m
autour,m
ADN,m
végétarisme,m
template,m
czar,m
signal,m
frappe,f
los,m
reptile,m
bustier,m
flèche,f
frappé,m
cobra,m
si,m
canyon,m
cartouche,m
cartouche,f
cent,m
pestilence,f
check,m
club,m
panda,m
participant,m
pagination,f
purge,f
crocodile,m
vision,f
ersatz,m
fromage,m
dugong,m
tsar,m
roman,m
puce,f
scorpion,m
alsacien,m
transport,m
code,m
sein,m
course,f
bar,m
bar,m
mule,f
melon,m
cosy,m
ghetto,m
festival,m
manifold,m
prestige,m
sort,m
atlas,m
dari,m
est,m
pause,f
avis,m
magazine,m
souvenir,m
seine,f
nutrition,f
tableau,m
cross,m
saxophone,m
kitsch,m
pelta,f
cot,m
mug,m
clitoris,m
snooker,m
corpus,m
pudding,m
stimulus,m
follower,m
curriculum,f
ed,m
goujon,m
goujon,m
stratum,m
service,m
bureau,m
type,m
beau,m
confrontation,f
acte,m
fan,f
timbre,m
nymphe,f
harpe,f
vespa,f
pale,f
flatulence,f
cyclone,m
opus,m
fungus,m
don,m
manticore,f
poker,m
rhino,m
hymne,m
liber,m
sumo,m
bonjour,m
pool,m
exactitude,f
label,m
placebo,m
aber,m
system,m
slip,m
hurricane,m
trait,m
syphilis,f
main,f
identification,f
dreadnought,m
front,m
brebis,f
anaconda,m
coyote,m
anecdote,f
ovin,m
tartan,m
formica,m
libido,f
curry,m
porto,m
smog,m
tram,m
arme,f
rand,m
plan,m
topo,m
wafer,m
pou,m
corps,m
nord,m
truck,m
anal,m
lice,f
lice,f
veto,m
trust,m
gale,f
aspidistra,m
alternative,f
penchant,m
attraction,f
lion,m
Eskimo,m
moment,m
cinquantaine,f
soixantaine,f
trentaine,f
Khmer,m
vingtaine,f
centaine,f
huitaine,f
dizaine,f
aquarium,m
double,m
auto,f
zona,m
quinzaine,f
douzaine,f
quarantaine,f
tube,m
clade,m
corporal,m
adresse,f
adresse,f
adresse,f
rouge,m
speaker,m
opposition,f
steward,m
land,m
lady,f
apologue,m
idiot,m
sabre,m
more,f
magouilleur,m
direct,m
basketball,m
tabernacle,m
local,m
conversation,f
mout,m
fait accompli,m
balustrade,f
membrane,f
destruction,f
mode,f
mode,m
vacation,f
fiction,f
hola,f
ton,m
dandy,m
bd,m
trio,m
trio,m
labium,m
location,f
canon,m
canon,m
canon,m
eucalyptus,m
figure,f
jas,m
bout,m
barbe à papa,f
zloty,m
latte,f
obsession,f
abricot,m
esse,m
scrabble,m
bolide,m
globe,m
marine,f
marine,m
quattrocento,m
speech,m
gel,m
affaire de cœur,f
canard,m
admission,f
sauce,f
culture,f
confidence,f
barbe,f
barbe,m
admittance,f
addiction,f
passion,f
sacrifice,m
direction,f
rogue,f
adieu,m
affectation,f
liaison,f
babeurre,m
same,m
source,f
mezzo,f
automobile,f
clapier,m
stratification,f
affliction,f
blanche,f
admiration,f
phage,m
intro,f
confident,m
patois,m
cancer,m
dragon,m
massif,m
amalgamation,f
maraud,m
lire,f
gradation,f
interpolation,f
calque,m
saboteur,m
largo,m
dissolution,f
mongol,m
ticket,m
risotto,m
bon,m
keepsake,m
vélo,m
administration,f
manioc,m
tapioca,m
kid,m
sono,f
fils,m
allusion,f
salle à manger,f
thread,m
ada,m
sphinx,m
crack,m
crack,f
agitation,f
affluent,m
raison d'être,f
affection,f
cricket,m
